City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bucerias,20.75,-105.3333,28.99,84,75,2.57,MX,1728610203
1,karratha,-20.7377,116.8463,31.7,37,0,7.15,AU,1728610204
2,napili-honokowai,20.9708,-156.6705,30.64,83,100,5.78,US,1728610205
3,papatowai,-46.5619,169.4708,13.37,60,72,3.84,NZ,1728610206
4,mariinsk,56.2139,87.7472,-2.62,62,100,3.56,RU,1728610207
5,lebu,-37.6167,-73.65,11.94,98,100,4.07,CL,1728610208
6,vorkuta,67.5,64.0,-10.04,98,65,0.51,RU,1728610209
7,banff,51.1762,-115.5698,4.21,70,41,1.03,CA,1728610211
8,adamstown,-25.066,-130.1015,21.29,87,100,7.03,PN,1728610212
9,nampula,-15.1165,39.2666,19.97,83,20,2.06,MZ,1728610213
10,invercargill,-46.4,168.35,14.45,71,70,5.36,NZ,1728610214
11,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,36,0,3.0,RU,1728609696
12,blackmans bay,-43.0167,147.3167,15.41,50,19,2.68,AU,1728610216
13,mount pleasant,32.7941,-79.8626,19.44,57,0,5.14,US,1728609987
14,udachny,66.4167,112.4,-8.16,91,100,4.35,RU,1728610218
15,susuman,62.7833,148.1667,-8.89,78,81,1.18,RU,1728610219
16,christchurch,-43.5333,172.6333,19.07,43,94,3.6,NZ,1728609709
17,laojunmiao,39.8333,97.7333,10.93,34,100,1.14,CN,1728610222
18,iqaluit,63.7506,-68.5145,-0.15,86,75,1.03,CA,1728610213
19,howrah,22.5892,88.3103,29.0,84,20,2.06,IN,1728610224
20,codrington,-38.2667,141.9667,14.01,65,100,6.9,AU,1728610225
21,betio village,1.358,172.9211,31.02,73,35,5.31,KI,1728610226
22,lata,40.1629,-8.3327,14.46,75,100,1.99,PT,1728609861
23,la'ie,21.6477,-157.9253,30.66,79,48,3.13,US,1728610228
24,alaghsas,17.0187,8.0168,29.73,15,6,2.76,NE,1728610229
25,port augusta,-32.5,137.7667,19.67,31,100,5.9,AU,1728610166
26,burutu,5.3509,5.5076,25.06,90,6,2.11,NG,1728610232
27,port-aux-francais,-49.35,70.2167,2.69,81,97,13.04,TF,1728610233
28,martuk,50.7475,56.5056,2.87,71,54,5.92,KZ,1728610234
29,rongelap,11.1635,166.8941,27.35,80,100,4.83,MH,1728610235
30,mount gambier,-37.8333,140.7667,12.98,65,94,3.72,AU,1728609953
31,saldanha,-33.0117,17.9442,9.03,82,100,0.86,ZA,1728610237
32,waitangi,-43.9535,-176.5597,11.57,69,80,0.89,NZ,1728610238
33,chonchi,-42.6128,-73.8092,6.18,96,23,1.3,CL,1728610239
34,new norfolk,-42.7826,147.0587,16.62,46,0,6.3,AU,1728609845
35,kavieng,-2.5744,150.7967,29.73,70,13,4.79,PG,1728610242
36,mayqayyng,51.4625,75.7986,6.86,58,100,5.22,KZ,1728610243
37,bredasdorp,-34.5322,20.0403,11.7,88,99,1.81,ZA,1728610245
38,whitehorse,60.7161,-135.0538,6.43,61,100,6.71,CA,1728610246
39,livingston,55.9029,-3.5226,4.38,87,0,6.17,GB,1728609990
40,namanyere,-7.5167,31.05,16.88,83,99,3.16,TZ,1728610248
41,north battleford,52.7834,-108.2847,8.05,66,0,2.57,CA,1728610189
42,youghal,51.95,-7.8506,4.65,86,6,2.55,IE,1728610251
43,wailua homesteads,22.0669,-159.378,28.44,83,75,5.66,US,1728610252
44,port alfred,-33.5906,26.891,16.39,78,100,6.89,ZA,1728610253
45,yellowknife,62.456,-114.3525,6.34,98,75,6.17,CA,1728610254
46,grytviken,-54.2811,-36.5092,-0.12,97,100,2.15,GS,1728610255
47,kapuskasing,49.4169,-82.4331,11.05,71,100,4.63,CA,1728609962
48,thompson,55.7435,-97.8558,7.09,76,75,2.06,CA,1728609985
49,saint-philippe,-21.3585,55.7679,20.95,85,63,6.94,RE,1728610258
50,ntchisi,-13.5278,33.9149,14.41,74,93,1.21,MW,1728610260
51,yamada,39.4667,141.95,13.29,88,80,2.9,JP,1728610261
52,kimbe,-5.5502,150.1429,28.94,78,100,0.69,PG,1728610262
53,aasiaat,68.7098,-52.8699,-6.85,70,23,4.83,GL,1728610263
54,cellole,41.2048,13.8543,18.9,78,3,4.01,IT,1728610264
55,dudinka,69.4058,86.1778,-9.39,90,30,4.62,RU,1728610265
56,anahuac,27.2333,-100.15,27.76,32,0,4.99,MX,1728610266
57,tabas,33.5959,56.9244,22.37,18,0,2.05,IR,1728610268
58,tharangambadi,11.0319,79.8528,28.15,76,83,1.85,IN,1728610269
59,namdrik,5.5994,168.1028,29.38,70,89,4.57,MH,1728610270
60,holualoa,19.6228,-155.9522,26.25,75,0,3.6,US,1728610271
61,west island,-12.1568,96.8225,26.99,78,20,6.69,CC,1728610272
62,egilsstadir,65.2653,-14.3948,-1.05,86,100,2.57,IS,1728610273
63,alton north (historical),26.2953,-98.3045,28.89,58,0,3.6,US,1728610274
64,edinburgh of the seven seas,-37.0676,-12.3116,8.8,87,91,23.58,SH,1728610275
65,ushuaia,-54.8,-68.3,3.81,87,75,1.54,AR,1728610277
66,ilulissat,69.2167,-51.1,-0.99,37,46,2.06,GL,1728610278
67,hilo,19.7297,-155.09,26.85,84,0,3.6,US,1728610030
68,sur,22.5667,59.5289,27.76,54,2,0.88,OM,1728610280
69,bethel,41.3712,-73.414,9.45,71,2,0.89,US,1728610281
70,dryden,49.7833,-92.7503,17.16,59,75,3.09,CA,1728610283
71,qina,26.1642,32.7267,24.54,36,0,2.01,EG,1728610285
72,alice springs,-23.7,133.8833,28.75,9,0,8.75,AU,1728610286
73,mariehamn,60.0973,19.9348,8.92,93,100,4.63,AX,1728610288
74,bilibino,68.0546,166.4372,-10.98,94,69,0.4,RU,1728610289
75,calca,-13.3333,-71.95,15.64,76,100,2.8,PE,1728610290
76,tolanaro,-25.0319,46.9987,22.04,68,20,9.26,MG,1728610291
77,hithadhoo,-0.6,73.0833,28.06,75,91,4.9,MV,1728610293
78,chernyshevskiy,63.0128,112.4714,-4.13,72,100,2.73,RU,1728610294
79,fiambala,-27.6871,-67.6149,16.87,55,0,1.36,AR,1728610295
80,chibougamau,49.9168,-74.3659,5.79,87,100,3.6,CA,1728610296
81,basoko,1.2391,23.616,20.93,94,15,0.45,CD,1728610297
82,hamilton,39.1834,-84.5333,14.49,69,0,0.45,US,1728609764
83,college,64.8569,-147.8028,1.99,79,100,1.54,US,1728610299
84,at taraf,25.3628,49.725,26.3,65,0,2.57,SA,1728610300
85,iskateley,67.6803,53.1512,-2.71,63,100,8.11,RU,1728610301
86,likiep,9.8251,169.3107,27.49,75,100,3.65,MH,1728610303
87,yasinya,48.2794,24.3604,10.92,87,15,1.76,UA,1728610304
